group,event1,start.time,end.time
4,task,0:07:57,0:09:13
4,off,0:09:13,0:09:28
4,Task,0:09:28,0:09:35
4,Task,0:09:35,0:15:47
4,Task,0:15:47,0:16:03
4,Task,0:16:03,0:17:27
4,Task,0:17:27,0:18:05
4,Task,0:18:05,0:19:29
4,off,0:19:29,0:20:30
4,task,0:20:30,0:21:10
4,on,0:21:10,0:21:17
4,task,0:21:17,0:22:27
4,task,0:22:27,0:22:48
4,task,0:22:48,0:23:50
4,off,0:23:50,0:24:20
4,off,0:24:20,0:24:29
4,off,0:24:29,0:24:40
4,off,0:24:40,0:25:03
4,off,0:25:03,0:26:19
4,task,0:26:19,0:26:21
4,task,0:26:21,0:28:05
4,off,0:28:05,0:28:32
4,task,0:28:32,0:30:00
6,task,0:00:00,0:00:33
6,task,0:00:33,0:00:34
6,off,0:00:34,0:05:45
6,task,0:05:45,0:10:25
6,on,0:10:25,0:10:40
6,on,0:10:40,0:11:27
6,off,0:11:27,0:13:19
6,off,0:13:19,0:13:29
6,off,0:13:29,0:19:29
6,off,0:19:29,0:19:36
6,off,0:19:36,0:20:27
6,off,0:20:27,0:20:50
6,off,0:20:50,0:23:28
6,off,0:23:28,0:23:48
6,off,0:23:48,0:26:20
6,off,0:26:20,0:26:25
6,off,0:26:25,0:27:00
